,accuracy
vgg16_cifar100,0.6922000050544739
resnet50_cifar100,0.5992000102996826
convnext_base_cifar100,0.8216999769210815
vgg16_oxford102,0.8893431425094604
resnet50_oxford102,0.9018806219100952
convnext_base_oxford102,0.9386753439903259
